Date,SHY,IEF,TLT
2002-07-30,59.14628601074219,47.19683837890625,43.239810943603516
2002-07-31,59.328800201416016,47.629722595214844,43.77555847167969
2002-08-01,59.4456787109375,47.82597351074219,44.024864196777344
2002-08-02,59.56242752075195,48.195343017578125,44.47569274902344
2002-08-05,59.657352447509766,48.43780517578125,44.671966552734375
2002-08-06,59.5113410949707,48.04530334472656,44.29008102416992
2002-08-07,59.59894943237305,48.195343017578125,44.39616012573242
2002-08-08,59.5113410949707,48.02797317504883,44.39616012573242
2002-08-09,59.52587890625,48.385807037353516,45.02207565307617
2002-08-12,59.51869201660156,48.48396301269531,45.2978630065918
2002-08-13,59.620853424072266,48.870704650878906,45.854793548583984
2002-08-14,59.48943328857422,48.726375579833984,46.02983093261719
2002-08-15,59.438323974609375,48.44354248046875,45.6267204284668
2002-08-16,59.40180587768555,48.126094818115234,45.11747741699219
2002-08-19,59.409149169921875,48.172306060791016,45.25541305541992
2002-08-20,59.54783248901367,48.61669921875,45.759315490722656
2002-08-21,59.49677658081055,48.49551010131836,45.51533508300781
2002-08-22,59.431007385253906,48.23578643798828,45.11747741699219
2002-08-23,59.5040283203125,48.45512771606445,45.563072204589844
2002-08-26,59.49677658081055,48.47822189331055,45.60552978515625
2002-08-27,59.45292282104492,48.33389663696289,45.3190803527832
2002-08-28,59.49677658081055,48.51283645629883,45.547203063964844
2002-08-29,59.56242752075195,48.73792266845703,45.91314697265625
2002-08-30,59.58432388305664,48.8303108215332,46.188968658447266
2002-09-03,59.72554397583008,49.36311340332031,46.899070739746094
2002-09-04,59.70353698730469,49.345726013183594,46.888397216796875
2002-09-05,59.769378662109375,49.542694091796875,47.144081115722656
2002-09-06,59.65235900878906,49.160430908203125,46.590084075927734
2002-09-09,59.57196807861328,49.090904235839844,46.520809173583984
2002-09-10,59.60848617553711,49.2646598815918,46.74457550048828
2002-09-11,59.57196807861328,49.08515548706055,46.49953079223633
2002-09-12,59.61582946777344,49.33995056152344,46.861751556396484
2002-09-13,59.659664154052734,49.57164001464844,47.29327392578125
2002-09-16,59.63774871826172,49.58901596069336,47.37321090698242
2002-09-17,59.68158721923828,49.75113296508789,47.463714599609375
2002-09-18,59.67428207397461,49.80910873413086,47.47435760498047
2002-09-19,59.798583984375,50.058101654052734,47.79396438598633
2002-09-20,59.80590057373047,50.04077911376953,47.57027053833008
2002-09-23,59.82056427001953,50.32450485229492,47.9964485168457
2002-09-24,59.849815368652344,50.504085540771484,48.305381774902344
2002-09-25,59.791316986083984,50.121826171875,47.719398498535156
2002-09-26,59.81325912475586,50.08710861206055,47.60752487182617
2002-09-27,59.93758773803711,50.41722869873047,47.96444320678711
2002-09-30,60.02529525756836,50.71258544921875,48.15624237060547
2002-10-01,59.95204162597656,50.26995086669922,47.558956146240234
2002-10-02,60.00336456298828,50.43843460083008,47.8316650390625
2002-10-03,60.01069259643555,50.40935516357422,47.71401596069336
2002-10-04,59.95942687988281,50.46166229248047,47.86376953125
2002-10-07,60.032615661621094,50.659156799316406,47.943965911865234
2002-10-08,59.97408676147461,50.56622314453125,47.9599723815918
2002-10-09,60.098575592041016,50.82178497314453,48.2059326171875
2002-10-10,60.03998565673828,50.531402587890625,47.82630157470703
2002-10-11,59.94475555419922,50.17119598388672,47.259483337402344
2002-10-14,59.95942687988281,50.13057327270508,47.18996047973633
2002-10-15,59.73237228393555,49.288307189941406,46.072391510009766
2002-10-16,59.754329681396484,49.288307189941406,46.09377670288086
2002-10-17,59.70307540893555,49.02690887451172,45.53229522705078
2002-10-18,59.754329681396484,49.172096252441406,45.64996337890625
2002-10-21,59.62247848510742,48.79450607299805,45.206146240234375
2002-10-22,59.61514663696289,48.77124786376953,45.077816009521484
2002-10-23,59.65917205810547,48.875831604003906,45.093875885009766
2002-10-24,59.76169204711914,49.108184814453125,45.489540100097656
2002-10-25,59.86420440673828,49.32314682006836,45.65530776977539
2002-10-28,59.94475555419922,49.38123321533203,45.59112548828125
2002-10-29,60.07656478881836,49.828495025634766,46.18466567993164
2002-10-30,60.06924057006836,49.822689056396484,46.16864013671875
2002-10-31,60.17180633544922,50.0782470703125,46.377174377441406
2002-11-01,60.108001708984375,49.77806091308594,46.18328094482422
2002-11-04,60.04926300048828,49.62073516845703,45.97919845581055
2002-11-05,60.04194259643555,49.48661804199219,45.801902770996094
2002-11-06,60.063941955566406,49.649837493896484,45.98451614379883
2002-11-07,60.09326171875,50.133636474609375,47.12331008911133
2002-11-08,60.07133483886719,50.25603103637695,47.504676818847656
2002-11-11,60.129940032958984,50.38426971435547,47.76249694824219
2002-11-12,60.14466857910156,50.22689437866211,47.48854446411133
2002-11-13,60.15195846557617,50.28521728515625,47.59059524536133
2002-11-14,60.00529098510742,49.655677795410156,46.60221481323242
2002-11-15,60.03463363647461,49.690635681152344,46.79023742675781
2002-11-18,60.03463363647461,49.73729705810547,46.99970245361328
2002-11-19,60.019989013671875,49.77806091308594,47.17161178588867
2002-11-20,59.96856689453125,49.50413131713867,46.70969009399414
2002-11-21,59.88792037963867,49.21852493286133,46.25849914550781
2002-11-22,59.86588668823242,49.16023635864258,46.21549606323242
2002-11-25,59.902591705322266,49.084442138671875,46.12957000732422
2002-11-26,60.01260757446289,49.5274658203125,46.70969009399414
2002-11-27,59.909934997558594,48.96205520629883,45.656890869140625
2002-11-29,59.939273834228516,49.03200149536133,45.952308654785156
2002-12-02,59.96131134033203,49.014400482177734,45.99495315551758
2002-12-03,59.98332214355469,49.008544921875,46.0596923828125
2002-12-04,60.02008056640625,49.17861557006836,46.29708480834961
